// 敵タイプ, 出現間隔, 開始スコア, 終了スコア

// --- 囲い込み (Type 5): 間隔を大幅に広げる ---
// 12体出るので、600〜900フレーム（10〜15秒）に1回くらいが適切です
5, 900, 0, 500      // 序盤：15秒に1回
5, 600, 501, 999999 // 中盤以降：10秒に1回（頻度を上げるなら、古い設定を終わらせる）

// --- 通常の敵 (0-4): 役割をスコア帯で分ける ---
// 全て 999999 までにすると弱い敵が溜まりすぎるので、終了スコアを設定します
0, 80, 0, 100       // 最初はザコ1種類
0, 150, 101, 500    // スコア100を超えたらザコの頻度を落とす
1, 150, 50, 300     // スコア50からEnemy2
2, 180, 150, 600    // スコア150からEnemy3
3, 200, 300, 999999 // スコア300からEnemy4（主力）
4, 240, 500, 999999 // スコア500からEnemy5（強敵）
